Latitude,Species,Habitat,Depth,TL(cm),d13C,C.N,Lipid.Extraction,ProvCode,ProvDescr,meanLH,sdLH,rangeLH
58.506,Etmopterus princeps,Slope,1200,60,-17.88,3.5,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,114,-17.15,3.49,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Etmopterus princeps,Slope,1200,63,-18.07,3.46,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,90,-17.88,3.45,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus crepidater,Slope,1200,79,-17.26,3.44,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus crepidater,Slope,1200,78,-17.13484046,3.420553127,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,110,-16.89,3.42,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centrophorus squamosus,Slope,1200,101,-16.84,3.32,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Apristurus sp,Slope,1000,18.5,-18.65,3.56,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Apristurus sp,Slope,1000,22.5,-18.49072484,3.526889699,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Apristurus sp,Slope,1000,23,-18.44,3.51,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Apristurus sp,Slope,1000,31.5,-18.19,3.49,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Apristurus sp,Slope,1000,21.5,-18.45,3.46,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Centroscyllium fabricii,Slope,1000,19.5,-18.43,3.45,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Centroscyllium fabricii,Slope,1000,21,-18.95918882,3.445739439,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Centroscyllium fabricii,Slope,1000,20.5,-18.56400878,3.42848632,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Centroscyllium fabricii,Slope,1000,24,-18.85,3.39,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Centroscyllium fabricii,Slope,1000,24.5,-18.95,3.12,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.476,Deania calcea,Slope,1000,82,-16.75,3.11,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.453,Apristurus laurussonii,Slope,1000,46.19767014,-17.78,3.9,Water Rinse,SARC,Polar - Atlantic Subarctic Province,-22.9112851,0.904943951,5.046260198
58.453,Deania calcea,Slope,1000,83.4,-17.54,3.83,Water Rinse,SARC,Polar - Atlantic Subarctic Province,-22.9112851,0.904943951,5.046260198
58.453,Apristurus laurussonii,Slope,1000,68.38578841,-17.26,3.72,Water Rinse,SARC,Polar - Atlantic Subarctic Province,-22.9112851,0.904943951,5.046260198
58.398,Etmopterus spinax,Slope,500,40.5,-17.63,3.38,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.398,Etmopterus spinax,Slope,500,53,-18.33518201,3.305598576,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.398,Galeus melastomus,Slope,500,59.5,-17.84904828,3.278576689,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.398,Etmopterus spinax,Slope,500,38,-18.23,3.24,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.398,Galeus melastomus,Slope,500,58.5,-17.95,3.23,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.398,Etmopterus spinax,Slope,500,45,-18.2,3.03,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,33.5,-18.2,3.71,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Apristurus aphyodes,Slope,1500,49,-17.59412255,3.625885038,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,30,-18.67937753,3.557061579,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Apristurus melanoasper,Slope,1500,70,-18.29,3.49,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Apristurus aphyodes,Slope,1500,48.5,-17.75,3.47,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,45.5,-18.39,3.46,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Apristurus aphyodes,Slope,1500,56,-17.69034512,3.422362759,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,37.8,-18.15,3.4,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
